Rx_time,rho,X,Y,Z,B,sigma_rho,SVID
421365.447965541,24146590.6100317,13598076.4631079,-5902317.63811368,21682414.743901,62000.3217838146,13.790453068,1
421365.447965541,22483889.1912376,-5367583.41316283,-25807131.3832029,-2729149.70210275,173243.765903332,5.096471786,6
421365.447965541,22587191.3741178,-22953812.1391015,-13567244.0713964,-678015.833684106,145226.874219501,3.897301954,13
421365.447965541,22233911.1226706,7840355.49518335,-19816533.1192561,15773502.7804133,-4248.25925844585,5.096471786,14
421365.447965541,23408014.4369533,-26059497.8972471,-2888669.4415742,4615971.63983148,5415.83031492936,17.088170106,15
421365.447965541,20951121.3957246,-1904274.55132748,-16639538.6907345,21023156.6523773,210821.857885931,4.197094412,17
421365.447965541,20110967.7494866,-12723527.3185993,-18031106.3739373,14749271.8748635,85385.0231004476,3.897301954,19
421365.447965541,22358230.2779955,-15635860.3149633,1589191.91809781,21079792.3094272,-28698.2380492362,7.195018992,24
421365.447965541,23560171.4011318,-199787.380830274,-26020703.9246461,-4467874.36003237,-158418.014112247,7.195018992,30
421366.447965541,24147083.2645789,13598487.3212569,-5899520.50792118,21682944.9593952,62000.3194687502,15.889000274,1
421366.447965541,22483285.7627082,-5367434.15359921,-25807510.0347661,-2725931.42314811,173243.766734042,5.696056702,6
421366.447965541,22587741.5794831,-22953639.3952556,-13567417.4004732,-681197.022961906,145226.876411145,2.398339664,13
421366.447965541,22234295.2368635,7842107.6705684,-19817544.2537978,15771347.6177693,-4248.25653764213,5.096471786,14
421366.447965541,23408405.7406359,-26060036.0386838,-2889158.59361921,4612951.44276863,5415.83153515777,15.889000274,15
421366.447965541,20951468.0268497,-1901919.41263102,-16638508.8793358,21024216.413075,210821.859752197,3.897301954,17
421366.447965541,20110859.8722405,-12721770.4266784,-18030365.635618,14751628.9487832,85385.0245719954,4.796679328,19
421366.447965541,22357701.5014976,-15636484.8182502,1586495.88637917,21079577.9807353,-28698.2437319478,8.094396366,24
421366.447965541,23560816.9195865,-199335.013833828,-26020173.8334265,-4470940.35000751,-158418.01426769,6.295641618,30
421367.44796554,24147522.0328537,13598898.3607374,-5896723.33861858,21683474.6980218,62000.3171537704,15.889000274,1
421367.44796554,22482693.2580151,-5367284.8629014,-25807888.2924944,-2722713.085913,173243.76756478,4.796679328,6
421367.44796554,22588293.355368,-22953466.31653,-13567590.5418469,-684378.197909514,145226.878602865,2.698132122,13
421367.44796554,22234676.7684241,7843859.57249984,-19818555.3254596,15769192.1177802,-4248.25381686935,5.096471786,14
421367.44796554,23408833.3756718,-26060573.8394307,-2889647.62121488,4609931.14859704,5415.83275559749,8.094396366,15
421367.44796554,20951822.8246768,-1899564.09494749,-16637479.1584698,21025275.7422021,210821.861618553,3.897301954,17
421367.44796554,20110752.4137997,-12720013.223254,-18029624.8651282,14753985.7082312,85385.0260434097,4.197094412,19
421367.44796554,22357202.5299715,-15637109.4550114,1583799.91980441,21079363.1898608,-28698.2494145174,8.094396366,24
421367.44796554,23561458.9130971,-198882.566245243,-26019643.3829581,-4474006.24316026,-158418.01442316,5.696056702,30
421368.447965541,24148002.6816512,13599309.5812944,-5893926.13145436,21684003.9596019,62000.3148388759,18.287339938,1
421368.447965541,22482102.7775472,-5367135.540895,-25808266.1564223,-2719494.690366,173243.768395544,4.197094412,6
421368.447965541,22588844.4681447,-22953292.902861,-13567763.4956313,-687559.35848847,145226.880794662,2.698132122,13
421368.447965541,22235065.6988771,7845611.20090015,-19819566.3341537,15767036.2805603,-4248.2510961276,5.096471786,14
421368.447965541,23409243.9094944,-26061111.2995172,-2890136.52489018,4606910.75683825,5415.83397624871,7.195018992,15
421368.447965541,20952162.8945201,-1897208.59801159,-16636449.5281141,21026334.6398203,210821.863485001,3.897301954,17
421368.447965541,20110651.4817403,-12718255.7083671,-18028884.0625481,14756342.1531113,85385.0275146904,4.796679328,19
421368.447965541,22356679.477145,-15637734.2253662,1581104.01770825,21079147.9367714,-28698.2550969462,9.293566198,24
421368.447965541,23562114.0640719,-198430.038089699,-26019112.5732893,-4477072.03925817,-158418.014578655,7.195018992,30
421369.447965541,24148470.7313914,13599720.983045,-5891128.88589625,21684532.7442208,62000.3125240663,15.889000274,1
421369.447965541,22481500.8497365,-5366986.18758623,-25808643.6265512,-2716276.23643449,173243.769226337,4.197094412,6
421369.447965541,22589398.2333544,-22953119.1543183,-13567936.2617168,-690740.504594196,145226.882986537,2.698132122,13
421369.447965541,22235428.5238043,7847362.55598881,-19820577.2799183,15764880.1059164,-4248.24837541657,5.096471786,14
421369.447965541,23409646.6256194,-26061648.4189265,-2890625.30445872,4603890.26765305,5415.83519711139,5.696056702,15
421369.447965541,20952512.2478793,-1894852.92225908,-16635419.9883726,21027393.1058234,210821.86535154,3.897301954,17
421369.447965541,20110545.4542173,-12716497.8820291,-18028143.2278662,14758698.2834612,85385.0289858376,4.796679328,19
421369.447965541,22356160.9264746,-15638359.1292156,1578408.18061607,21078932.2214943,-28698.2607792336,8.094396366,24
421369.447965541,23562750.6131146,-197977.429227547,-26018581.4043847,-4480137.73855669,-158418.014734176,8.094396366,30
421370.44796554,24148994.272824,13600132.5658683,-5888331.60271681,21685061.0517478,62000.3102093422,18.287339938,1
421370.44796554,22480911.9048878,-5366836.80277584,-25809020.7028817,-2713057.724452,173243.770057156,3.897301954,6
421370.44796554,22589942.8197497,-22952945.0706697,-13568108.8404987,-693921.636282991,145226.885178488,2.698132122,13
421370.44796554,22235812.6379972,7849113.63747799,-19821588.1625322,15762723.5942368,-4248.24565473669,5.096471786,14
421370.44796554,23410053.8439006,-26062185.197587,-2891113.96017764,4600869.68123209,5415.83641818547,5.096471786,15
421370.44796554,20952852.9459304,-1892497.06732697,-16634390.5392579,21028451.1402534,210821.867218169,3.897301954,17
421370.44796554,20110433.7379233,-12714739.744041,-18027402.3612917,14761054.0992325,85385.0304568514,4.796679328,19
421370.44796554,22355652.0083245,-15638984.166547,1575712.40847179,21078716.0440402,-28698.2664613794,9.293566198,24
421370.44796554,23563386.3245469,-197524.739440841,-26018049.8762976,-4483203.3408055,-158418.014889723,8.094396366,30
421371.447965541,24149445.2911517,13600544.3300618,-5885534.280509,21685588.8823989,62000.3078947027,18.287339938,1
421371.447965541,22480319.0162898,-5366687.38656437,-25809397.3854005,-2709839.15430017,173243.770888003,3.897301954,6
421371.447965541,22590492.1526041,-22952770.6520874,-13568281.2316978,-697102.753345859,145226.887370516,3.297717038,13
421371.447965541,22236199.4744241,7850864.44534228,-19822598.9820504,15760566.7454298,-4248.24293408778,5.096471786,14
421371.447965541,23410459.2822595,-26062721.6355139,-2891602.49186712,4597848.99757127,5415.83763947098,5.096471786,15
421371.447965541,20953202.892597,-1890141.03364785,-16633361.1808444,21029508.7430285,210821.869084889,3.897301954,17
421371.447965541,20110322.0216293,-12712981.2946693,-18026661.4627426,14763409.600333,85385.0319277317,4.796679328,19
421371.447965541,22355114.5765185,-15639609.3374209,1573016.70101061,21078499.4043878,-28698.2721433844,9.293566198,24
421371.447965541,23564047.1293922,-197071.969159575,-26017517.9890899,-4486268.84567834,-158418.015045296,9.293566198,30
421372.44796554,24149965.0633373,13600956.2752437,-5882736.92109978,21686116.2359141,62000.3055801487,13.790453068,1
421372.44796554,22479724.7316745,-5366537.93884527,-25809773.6741139,-2706620.52608025,173243.771718878,3.897301954,6
421372.44796554,22591046.3715195,-22952595.8985126,-13568453.4354214,-700283.855709706,145226.889562621,3.597509496,13
421372.44796554,22236580.7616817,7852614.97970117,-19823609.7384056,15758409.559485,-4248.24021346976,5.096471786,14
421372.44796554,23410866.605242,-26063257.7326713,-2892090.89960925,4594828.21677651,5415.83886096789,5.696056702,15
421372.44796554,20953555.7010992,-1887784.82115392,-16632331.9131624,21030565.9141491,210821.870951701,3.897301954,17
421372.44796554,20110230.5126875,-12711222.5340979,-18025920.532297,14765764.7865491,85385.0333984783,4.796679328,19
421372.44796554,22354622.8642831,-15640234.6416388,1570321.05920928,21078282.3025978,-28698.2778252471,8.094396366,24
421372.44796554,23564697.3245052,-196619.117990002,-26016985.7427214,-4489334.25346914,-158418.015200895,8.094396366,30
421373.447965541,24150432.1707657,13601368.4017624,-5879939.52300717,21686643.1124973,62000.3032656795,18.287339938,1
421373.447965541,22479130.3074574,-5366388.45953775,-25810149.569025,-2703401.83987172,173243.77254978,4.197094412,6
421373.447965541,22591600.1018288,-22952420.8098827,-13568625.4517798,-703464.943367676,145226.891754802,3.297717038,13
421373.447965541,22236958.2447918,7854365.24054469,-19824620.4315294,15756252.0364588,-4248.23749288266,5.096471786,14
421373.447965541,23411278.8491859,-26063793.4890297,-2892579.18345732,4591807.33894003,5415.84008267619,6.295641618,15
421373.447965541,20953904.6705536,-1885428.42979042,-16631302.7362363,21031622.6536193,210821.872818603,3.897301954,17
421373.447965541,20110124.4153637,-12709463.461967,-18025179.5700486,14768119.6581048,85385.0348690915,4.796679328,19
421373.447965541,22354105.1512232,-15640860.0793619,1567625.4821911,21078064.7386248,-28698.2835069688,9.293566198,24
421373.447965541,23565355.6863201,-196166.185999346,-26016453.1372442,-4492399.56392231,-158418.01535652,8.094396366,30
421374.44796554,24150912.9591649,13601780.709419,-5877142.08717228,21687169.5120209,62000.3009512956,13.790453068,1
421374.44796554,22478537.8376647,-5366238.94865261,-25810525.0701167,-2700183.09576831,173243.773380709,3.897301954,6
421374.44796554,22592147.7594624,-22952245.3861798,-13568797.2808084,-706646.016310036,145226.893947061,3.297717038,13
421374.44796554,22237336.1816076,7856115.2277676,-19825631.0613739,15754094.1764292,-4248.23477232649,5.696056702,14
421374.44796554,23411695.839589,-26064328.9045716,-2893067.34340259,4588786.36412684,5415.84130459587,6.295641618,15
421374.44796554,20954247.2881287,-1883071.85961131,-16630273.6500982,21032678.9614268,210821.874685595,3.897301954,17
421374.44796554,20110019.1207498,-12707704.0784941,-18024438.5760186,14770474.2148262,85385.0363395713,4.796679328,19
421374.44796554,22353572.0470712,-15641485.6505421,1564929.97018912,21077846.7124832,-28698.2891885494,9.293566198,24
421374.44796554,23566002.8799956,-195713.173043408,-26015920.1726451,-4495464.77716692,-158418.01551217,9.293566198,30
421375.447965541,24151381.7069138,13602193.1982919,-5874344.61332547,21687695.4345203,62000.2986369967,15.889000274,1
421375.447965541,22477939.2951962,-5366089.40605307,-25810900.1774145,-2696964.2937491,173243.774211666,5.096471786,6
421375.447965541,22592704.6657113,-22952069.6274253,-13568968.9224843,-709827.074311062,145226.896139397,6.295641618,13
421375.447965541,22237718.3413761,7857864.94133403,-19826641.6278699,15751935.9794666,-4248.23205180129,5.096471786,14
421375.447965541,23412108.5023381,-26064863.9792815,-2893555.37958812,4585765.29230604,5415.84252672695,5.096471786,15
421375.447965541,20954590.1151064,-1880715.11072346,-16629244.654811,21033734.8375291,210821.876552679,3.897301954,17
421375.447965541,20109915.5711578,-12705944.38369,-18023697.5502749,14772828.4566571,85385.0378099175,4.796679328,19
421375.447965541,22353067.0726703,-15642111.3550559,1562234.52380514,21077628.2242112,-28698.294869988,8.094396366,24
