Rx_time,rho,X,Y,Z,B,sigma_rho,SVID
444529.429859939,21329522.4222228,-6206849.660385,-14080417.5890888,22267953.0942182,-185007.860410064,2.398339664,2
444529.429859939,21580342.6033976,4079504.0854967,-15777757.0254305,20779249.6639406,-35367.0164781373,1.199169832,5
444529.429859939,25229342.0344472,-6994427.69931585,-22090028.4122351,-13351663.5864386,-103983.518992437,5.696056702,12
444529.429859939,23906823.780678,13311039.8501731,-22181886.9916208,5364651.1592787,145274.231548238,6.295641618,13
444529.429859939,23089729.2709665,2653900.90489417,-26274593.2016082,-792308.736469279,5458.48453546586,3.897301954,15
444529.429859939,21461333.968136,-19862877.4125701,-6570596.20161572,16450977.3310179,-48938.3423073455,2.398339664,18
444529.429859939,23966426.4302857,13584005.4712039,-8903584.53520385,21017943.7287361,134131.197808312,4.796679328,20
444529.429859939,22921096.5790077,-20796358.6828769,-16269059.7120229,-3525756.85994439,2590.46339955286,2.99792458,23
444529.429859939,22970240.3708123,-15929482.6306515,-20839106.2586122,-5344111.76630929,127275.076689952,11.99169832,25
444529.429859939,22814781.4764331,-18282252.5364693,2734363.56369582,19071966.8355253,72495.5163177628,6.295641618,26
444529.429859939,20504805.3432987,-5754619.10451912,-19117408.4782333,17426390.1105607,-176562.471143721,1.199169832,29
444530.429859939,21329660.3138434,-6204336.1880551,-14081339.8280162,22268097.2138115,-185007.857715822,2.398339664,2
444530.429859939,21580790.4457856,4081542.70837201,-15776016.5828056,20780174.9818606,-35367.0174976385,1.199169832,5
444530.429859939,25230064.2291586,-6993199.23241342,-22088917.1419865,-13354189.4641397,-103983.519707258,8.094396366,12
444530.429859939,23906431.3601815,13311009.5863706,-22181132.943508,5367761.49261516,145274.232752844,6.295641618,13
444530.429859939,23089189.6404331,2654299.28269722,-26274593.051785,-789182.388342036,5458.48499127687,2.098547206,15
444530.429859939,21461060.5581245,-19860896.3449159,-6571247.44453708,16453095.1121008,-48938.346943393,2.99792458,18
444530.429859939,23967060.1872936,13586133.5848344,-8901970.84875483,21017230.3673669,134131.197097075,5.096471786,20
444530.429859939,22920449.9437392,-20796525.4320451,-16269532.8295104,-3522606.93966601,2590.4642716918,3.297717038,23
444530.429859939,22970918.2070702,-15928840.5219754,-20838855.4266885,-5347156.81240175,127275.078386057,11.99169832,25
444530.429859939,22814520.0721714,-18283994.533127,2732642.04446781,19070586.1225632,72495.5163880324,8.094396366,26
444530.429859939,20504861.1141946,-5753748.95959438,-19119457.5670133,17424427.1981117,-176562.471945476,1.49896229,29
444531.42985994,21329796.5651435,-6201822.75853519,-14082262.225423,22268240.8858318,-185007.8550215,2.99792458,2
444531.42985994,21581237.3109615,4083581.51845555,-15774276.179999,20781099.8500054,-35367.018517127,1.199169832,5
