Rx_time,rho,X,Y,Z,B,sigma_rho,SVID
418927.445282922,21462648.2138349,-22452744.45047,-12484603.6968588,6958806.23922192,145221.902571789,4.796679328,13
418927.445282922,21401335.54759,2819743.55599741,-17296555.6453546,19925645.3510975,-4254.93477273896,8.094396366,14
418927.445282922,22662570.8353848,-23806862.4648204,-1234383.30293641,11536404.3818627,5413.34968876599,5.696056702,15
418927.445282922,20343955.5880536,-7008902.80777466,-19304313.439673,17218622.4116102,210817.656425697,4.796679328,17
418927.445282922,20686523.6045361,-16046647.5938253,-19604762.7243535,8200676.52196441,85381.0547251612,4.796679328,19
418927.445282922,23779649.1066226,-14537687.1101944,8194764.06120763,20227535.6527568,-28683.9207639704,8.094396366,24
418927.445282922,22146545.8397473,-1176241.75658034,-26215818.0371414,3132298.8834914,-158417.623673857,6.295641618,30
418928.445282923,21462959.5955202,-22453291.5389253,-12485354.9033005,6955788.2571544,145221.904519083,4.197094412,13
418928.445282923,21401613.6342599,2822076.41617012,-17297560.2577163,19924429.6546242,-4254.93196708316,8.094396366,14
418928.445282923,22662723.0012835,-23808136.1375801,-1235284.39803716,11533808.3884032,5413.35038587186,5.696056702,15
418928.445282923,20344052.5763638,-7007106.82019408,-19303208.5100016,17220652.7853439,210817.658002131,4.197094412,17
418928.445282923,20686118.1661771,-16045683.7300158,-19604268.3124232,8203633.77800024,85381.0565177599,4.796679328,19
418928.445282923,23778966.6635072,-14537959.597294,8192107.55298618,20228442.5413065,-28683.9267193846,7.195018992,24
418928.445282923,22147028.0939647,-1175845.70456964,-26216191.6649663,3129197.10528859,-158417.623729381,5.696056702,30
418929.445282923,23309148.6229291,13116640.9030684,-12427867.2661426,19016077.7219417,62006.0787286258,13.790453068,1
418929.445282923,24035247.1574145,-5769382.09322636,-23739540.2041829,-10231867.2802547,173241.740022694,10.49273603,6
418929.445282923,21463268.2898721,-22453838.3817087,-12486105.832275,6952770.12797838,145221.90646647,5.096471786,13
418929.445282923,21401861.4971527,2824409.08488128,-17298564.933438,19923213.5329872,-4254.929161465,7.195018992,14
418929.445282923,22662869.5133117,-23809409.5574772,-1236185.28734885,11531212.1473442,5413.35108319099,5.696056702,15
418929.445282923,20344153.2641201,-7005310.56381898,-19302103.5452187,17222682.8024347,210817.65957871,4.197094412,17
418929.445282923,20685718.8004939,-16044719.5408569,-19603773.7313477,8206590.86075239,85381.0583102314,5.096471786,19
418929.445282923,23778292.3172929,-14538232.2277595,8189450.94722817,20229348.9826821,-28683.9326747188,9.293566198,24
418929.445282923,22147497.5048219,-1175449.687966,-26216564.9238186,3126095.25936541,-158417.623784961,5.696056702,30
418930.445282923,23309303.127157,13116640.8729858,-12425375.9419128,19017712.970679,62006.0762833027,6.295641618,1
418930.445282923,24034572.4272953,-5769149.35136902,-23740840.4766918,-10228991.0969488,173241.740802236,11.99169832,6
418930.445282923,21463593.0733246,-22454384.9786312,-12486856.4839546,6949751.85194307,145221.908413951,4.796679328,13
418930.445282923,21402131.1379172,2826741.56169267,-17299569.6723008,19921996.9864208,-4254.92635588496,4.796679328,14
418930.445282923,22663038.7106229,-23810682.724338,-1237085.97096021,11528615.658985,5413.35178072332,6.295641618,15
418930.445282923,20344244.773062,-7003514.03827766,-19300998.5454476,17224712.4629321,210817.661155434,4.197094412,17
418930.445282923,20685318.0736937,-16043755.0260183,-19603278.9814086,8209547.77023521,85381.0601025758,5.696056702,19
418930.445282923,23777631.0936423,-14538505.0016951,8186794.24386614,20230254.976851,-28683.9386299729,13.790453068,24
418930.445282923,22147967.6834887,-1175053.70648026,-26216937.8136815,3122993.34592529,-158417.623840595,5.696056702,30
418931.445282923,23309454.6648478,13116640.9862983,-12422884.4095062,19019347.7994544,62006.0738380003,5.696056702,1
418931.445282923,24033874.9769927,-5768916.70611299,-23742140.4001656,-10226114.6939541,173241.741581792,15.889000274,6
418931.445282923,21463902.6052869,-22454931.3298017,-12487606.8582613,6946733.42880104,145221.910361526,4.796679328,13
418931.445282923,21402402.3143008,2829073.84652623,-17300574.4743569,19920780.0148704,-4254.92355034285,5.096471786,14
418931.445282923,22663173.4961047,-23811955.638358,-1237986.44902234,11526018.922892,5413.35247846899,6.295641618,15
418931.445282923,20344345.0769135,-7001717.24408962,-19299893.510674,17226741.7666714,210817.662732302,4.197094412,17
418931.445282923,20684914.415257,-16042790.1857849,-19602784.0624127,8212504.50639697,85381.0618947931,5.696056702,19
418931.445282923,23776932.4567249,-14538777.9191294,8184137.44257052,20231160.5239455,-28683.9445851479,15.889000274,24
418931.445282923,22148428.927644,-1174657.76040113,-26217310.3345387,3119891.36493904,-158417.623896284,7.195018992,30
418932.445282923,23309609.4133788,13116641.2431735,-12420392.6688885,19020982.208201,62006.0713927187,3.897301954,1
418932.445282923,24033173.51314,-5768684.15723575,-23743439.9745365,-10223238.0715074,173241.742361362,15.889000274,6
418932.445282923,21464220.7576567,-22455477.4350456,-12488356.9553125,6943714.85885249,145221.912309195,4.796679328,13
418932.445282923,21402653.2833324,2831405.93981653,-17301579.339586,19919562.6182711,-4254.92074483846,3.297717038,14
418932.445282923,22663312.6790414,-23813228.2993232,-1238886.7215162,11523421.9394546,5413.35317642791,6.295641618,15
418932.445282923,20344444.0545486,-6999920.18092534,-19298788.4410218,17228770.7136836,210817.664309315,4.796679328,17
418932.445282923,20684505.2425514,-16041825.0198783,-19602288.97462,8215461.06920436,85381.0636868834,5.696056702,19
418932.445282923,23776279.5393779,-14539050.9799347,8181480.54425195,20232065.6236969,-28683.9505402421,13.790453068,24
418932.445282923,22148883.4709157,-1174261.84936903,-26217682.4863899,3116789.31649197,-158417.623952029,6.295641618,30
418933.445282923,23309770.0600833,13116641.6435979,-12417900.7201943,19022616.1968663,62006.0689474579,4.197094412,1
418933.445282923,24032455.43668,-5768451.70467646,-23744739.1998236,-10220361.229553,173241.743140946,15.889000274,6
418933.445282923,21464541.7718623,-22456023.2943436,-12489106.775113,6940696.14210718,145221.914256957,4.796679328,13
418933.445282923,21402923.0287982,2833737.84099679,-17302584.2678466,19918344.7968082,-4254.91793937216,3.297717038,14
418933.445282923,22663461.878403,-23814500.7071664,-1239786.78834489,11520824.7087818,5413.35387460009,7.195018992,15
418933.445282923,20344545.6148158,-6998122.84890774,-19297683.3365378,17230799.3038993,210817.665886473,4.197094412,17
418933.445282923,20684113.9388688,-16040859.5285322,-19601793.7179858,8218417.45836057,85381.0654788464,5.096471786,19
418933.445282923,23775619.0486365,-14539324.1842521,8178823.54836068,20232970.2762463,-28683.9564952565,15.889000274,24
418933.445282923,22149345.0989758,-1173865.97351892,-26218054.2691982,3113687.20079722,-158417.624007828,6.295641618,30
418934.445282922,23309929.2060691,13116642.1876406,-12415408.5633828,19024249.7654559,62006.066502218,4.197094412,1
418934.445282922,24031808.1732036,-5768219.34892948,-23746038.0754989,-10217484.16899,173241.743920545,15.889000274,6
418934.445282922,21464850.8501189,-22456568.907614,-12489856.3178351,6937677.2784786,145221.916204813,4.796679328,13
418934.445282922,21403186.2129821,2836069.55034818,-17303589.2591585,19917126.5504036,-4254.91513394371,3.297717038,14
418934.445282922,22663621.9318002,-23815772.861836,-1240686.64955561,11518227.2309368,5413.35457298551,6.295641618,15
418934.445282922,20344650.8047283,-6996325.24804481,-19296578.1972907,17232827.5372724,210817.667463776,4.197094412,17
418934.445282922,20683710.9784408,-16039893.7114739,-19601298.292651,8221373.67409526,85381.0672706823,5.696056702,19
418934.445282922,23774898.9130508,-14539597.5322538,8176166.45429613,20233874.4817322,-28683.9624501921,15.889000274,24
418934.445282922,22149817.5461709,-1173470.13279749,-26218425.6829475,3110585.01795853,-158417.624063683,5.696056702,30
418935.445282922,23310084.1640026,13116642.8752962,-12412916.1985327,19025882.9139483,62006.0640569989,3.897301954,1
418935.445282922,24031090.4108476,-5767987.08910616,-23747336.6023177,-10214606.8885245,173241.744700158,18.287339938,6
418935.445282922,21465172.1784283,-22457114.2748828,-12490605.5832311,6934658.26827488,145221.918152763,4.796679328,13
418935.445282922,21403456.3074523,2838401.06760084,-17304594.3134514,19915907.8791378,-4254.91232855323,3.297717038,14
418935.445282922,22663771.7942701,-23817044.763372,-1241586.30527119,11515629.5057948,5413.35527158424,6.295641618,15
418935.445282922,20344754.8080261,-6994527.37837711,-19295473.0233042,17234855.4137947,210817.669041223,4.796679328,17
418935.445282922,20683298.1760899,-16038927.5687769,-19600802.6986084,8224329.7163271,85381.0690623912,5.696056702,19
418935.445282922,23774271.089117,-14539871.0234804,8173509.26406076,20234778.2396773,-28683.9684050459,13.790453068,24
418935.445282922,22150285.4912098,-1173074.32713265,-26218796.7276449,3107482.76788461,-158417.624119592,5.696056702,30
418936.445282923,23310245.9624215,13116643.7065741,-12410423.625819,19027515.6422491,62006.0616118007,4.197094412,1
418936.445282923,24030379.5238773,-5767754.92564312,-23748634.7798078,-10211729.3889584,173241.745479785,20.98547206,6
418936.445282923,21465488.6555772,-22457659.3960696,-12491354.5714846,6931639.1113856,145221.920100807,4.796679328,13
418936.445282923,21403714.3263718,2840732.39295471,-17305599.4307293,19914688.7829578,-4254.90952320053,3.297717038,14
418936.445282923,22663910.8027046,-23818316.4117295,-1242485.75554388,11513031.5334053,5413.35597039627,7.195018992,15
418936.445282923,20344859.6489342,-6992729.23992933,-19294367.814646,17236882.9334138,210817.670618815,4.796679328,17
418936.445282923,20682920.0298715,-16037961.1007666,-19600306.9358268,8227285.58455666,85381.0708539727,5.696056702,19
418936.445282923,23773578.2107714,-14540144.6584069,8170851.97575274,20235681.550538,-28683.974359821,18.287339938,24
418936.445282923,22150745.8628542,-1172678.55642746,-26219167.4032843,3104380.45060806,-158417.624175557,5.696056702,30
418937.445282923,23310409.5407626,13116644.6815889,-12407930.8451779,19029147.9503472,62006.0591666234,4.197094412,1
418937.445282923,24029699.7680955,-5767522.85852022,-23749932.6078253,-10208851.6705918,173241.746259426,18.287339938,6
418937.445282923,21465800.9446739,-22458204.2710569,-12492103.2827388,6928619.80788731,145221.922048944,4.796679328,13
418937.445282923,21403981.9429111,2843063.52619532,-17306604.6108724,19913469.2619797,-4254.90671788584,3.297717038,14
418937.445282923,22664069.599686,-23819587.8067313,-1243385.00025798,11510433.3140959,5413.35666942155,7.195018992,15
418937.445282923,20344958.4869675,-6990930.83254726,-19293262.5714018,17238910.0961317,210817.672196552,4.796679328,17
418937.445282923,20682502.0273558,-16036994.3067292,-19599811.0046178,8230241.27945005,85381.0726454273,5.696056702,19
418937.445282923,23772923.0597966,-14540418.4367905,8168194.5906363,20236584.4139839,-28683.9803145154,15.889000274,24
418937.445282923,22151214.3313996,-1172282.82060982,-26219537.7098358,3101278.06636369,-158417.624231577,5.696056702,30
418938.445282922,23310560.5200464,13116645.80032,-12405437.8566048,19030779.8382864,62006.0567214669,4.796679328,1
418938.445282922,24029009.2629795,-5767290.88759704,-23751230.0865328,-10205973.7330815,173241.747039081,13.790453068,6
418938.445282922,21466122.8313903,-22458748.8999099,-12492851.7167378,6925600.35797991,145221.923997175,4.796679328,13
418938.445282922,21404247.4305238,2845394.46728704,-17307609.85389,19912249.31618,-4254.90391260902,3.297717038,14
418938.445282922,22664213.3894802,-23820858.948478,-1244284.03956094,11507834.8476197,5413.35736866016,6.295641618,15
418938.445282922,20345051.008022,-6989132.15639646,-19292157.2935741,17240936.9019123,210817.673774433,4.197094412,17
418938.445282922,20682118.7507733,-16036027.1873989,-19599314.9047445,8233196.80021196,85381.0744367546,5.696056702,19
418938.445282922,23772242.1173999,-14540692.3587637,8165537.10809841,20237486.8301883,-28683.9862691301,11.99169832,24
418938.445282922,22151685.2080751,-1171887.1197882,-26219907.6472874,3098175.61515631,-158417.624287651,5.096471786,30
418939.445282923,23310725.5991063,13116647.0627722,-12402944.660409,19032411.3058874,62006.0542763316,4.197094412,1
418939.445282923,24028319.9095779,-5767059.01279862,-23752527.2158541,-10203095.576601,173241.747818751,18.287339938,6
418939.445282923,21466437.1447123,-22459293.282505,-12493599.8737435,6922580.76155213,145221.9259455,4.796679328,13
