Rx_time,rho,X,Y,Z,B,sigma_rho,SVID
444530.000019312,21330181.2377434,-6205416.57984437,-14080943.391208,22268035.3199213,-185007.858873932,1.49896229,2
444530.000019312,21581205.2723618,4080666.39865724,-15776764.694329,20779777.2958648,-35367.017059415,1.49896229,5
444530.000019312,22971272.3068886,-15929116.5622273,-20838963.2731412,-5345847.93493796,127275.077656985,2.99792458,25
444530.000019312,20505418.6137509,-5754122.95917802,-19118576.8037383,17425270.9871752,-176562.471600847,2.99792458,29
444531.000019312,21330324.1899271,-6202903.13254265,-14081865.7202233,22268179.1843248,-185007.856179644,1.49896229,2
444531.000019312,21581634.1289129,4082705.12784844,-15775024.2744362,20780702.3574012,-35367.018078909,1.49896229,5
444531.000019312,22971844.1156235,-15928474.2923089,-20838712.3105743,-5348892.91874583,127275.079353155,2.99792458,25
444531.000019312,20505490.0898428,-5753252.93270258,-19120625.789028,17423307.8620256,-176562.472402604,2.99792458,29
444532.000019312,21330395.666019,-6200389.72662512,-14082788.2083076,22268322.6011876,-185007.853485276,1.49896229,2
444532.000019312,21582062.9854641,4084744.04492763,-15773283.8942165,20781626.9691477,-35367.0190983902,1.49896229,5
444532.000019312,22972487.4004502,-15927831.7390419,-20838461.1199497,-5351937.79064838,127275.08104944,2.99792458,25
444532.000019312,20505490.0898428,-5752383.11103027,-19122674.59423,17421344.3632044,-176562.473204368,2.99792458,29
444533.000019312,21330538.6182027,-6197876.36499261,-14083710.8542787,22268465.5704395,-185007.850790828,1.49896229,2
444533.000019312,21582420.3659234,4086783.14932552,-15771543.5535737,20782551.1313045,-35367.0201178589,1.49896229,5
444533.000019312,21460839.5336666,-19855803.6826636,-6572922.08985454,16458536.5472949,-48938.3588589116,2.99792458,18
444533.000019312,22973059.2091851,-15927188.9030779,-20838209.7004447,-5354982.55203468,127275.082745839,2.99792458,25
444533.000019312,20505490.0898428,-5751513.49625297,-19124723.2182219,17419380.4912217,-176562.474006136,2.99792458,29
444534.000019312,21330610.0942945,-6195363.04493554,-14084633.6592491,22268608.0921469,-185007.8480963,1.49896229,2
444534.000019312,21582849.2224746,4088822.44069421,-15769803.2532218,20783474.8434114,-35367.0211373146,1.49896229,5
444534.000019312,21460553.6292992,-19853821.8322194,-6573573.99343584,16460653.0861613,-48938.3634950722,1.49896229,18
444534.000019312,22973702.4940119,-15926545.7838246,-20837958.0528961,-5358027.20138992,127275.084442351,2.99792458,25
444534.000019312,20505561.5659347,-5750644.08742851,-19126771.6607941,17417416.2465878,-176562.47480791,2.99792458,29
444535.000019312,21330753.0464783,-6192849.76907866,-14085556.6221586,22268750.1662399,-185007.845401692,1.49896229,2
444535.000019312,21583278.0790257,4090861.91877395,-15768062.9929848,20784398.1056687,-35367.0221567574,1.49896229,5
444535.000019312,21460196.2488399,-19851839.7622521,-6574226.08210461,16462769.2774599,-48938.3681312655,1.49896229,18
444535.000019312,22974345.7788386,-15925902.3820404,-20837706.1765767,-5361071.73937716,127275.086138978,2.99792458,25
444535.000019312,20505561.5659347,-5749774.8846545,-19128819.9227026,17415451.6284081,-176562.475609689,1.49896229,29
444536.000019312,21330824.5225701,-6190336.53517032,-14086479.7439179,22268891.7927848,-185007.842707003,1.49896229,2
444536.000019312,21583706.9355769,4092901.5842241,-15766322.7727374,20785320.9180568,-35367.0231761874,1.49896229,5
444536.000019312,23904750.0666027,13310839.055986,-22176926.080468,5385084.41429112,145274.239461532,2.99792458,13
444536.000019312,21459910.3444724,-19849857.473702,-6574878.35576057,16464885.1201367,-48938.3727674893,2.99792458,18
444536.000019312,23971008.4037585,13597987.853954,-8892985.44283648,21013248.6527373,134131.193134206,2.99792458,20
444536.000019312,22974917.5875735,-15925258.6962644,-20837454.0724553,-5364116.16665938,127275.087835719,2.99792458,25
444536.000019312,20505561.5659347,-5748905.88761109,-19130868.0035505,17413486.6371928,-176562.476411474,1.49896229,29
444537.000019312,21330967.4747539,-6187823.34543688,-14087403.0236423,22269032.971712,-185007.840012235,1.49896229,2
444537.000019312,21584135.7921281,4094941.43647108,-15764582.592674,20786243.2805559,-35367.0241956045,1.49896229,5
444537.000019312,21459624.440105,-19847874.966263,-6575530.81425287,16467000.6146513,-48938.3774037448,1.49896229,18
444537.000019312,23971580.2124934,13600116.0897115,-8891372.86294037,21012532.3545791,134131.19242255,2.99792458,20
444537.000019312,22975560.8724003,-15924614.7282124,-20837201.7396052,-5367160.48172194,127275.089532574,2.99792458,25
444537.000019312,20505561.5659347,-5748037.09693437,-19132915.9030797,17411521.2729841,-176562.477213264,1.49896229,29
444538.000019312,21331038.9508457,-6185310.19814588,-14088326.4620142,22269173.7030873,-185007.837317387,1.49896229,2
444538.000019312,21584564.6486793,4096981.47559289,-15762842.4528202,20787165.1931461,-35367.0252150088,1.49896229,5
444538.000019312,21459267.0596457,-19845892.2393575,-6576183.45825123,16469115.7614627,-48938.3820400331,1.49896229,18
444538.000019312,23972223.4973202,13602244.3430499,-8889760.45232678,21011815.6096795,134131.191710829,2.99792458,20
444538.000019312,22976204.157227,-15923970.4771914,-20836949.1784083,-5370204.68522783,127275.091229543,1.49896229,25
444538.000019312,20505633.0420265,-5747168.51300927,-19134963.6206818,17409555.5362925,-176562.478015059,1.49896229,29
444539.000019312,21331181.9030294,-6182797.09508832,-14089250.0583402,22269313.9868417,-185007.834622459,1.49896229,2
444539.000019312,21584922.0291386,4099021.70226377,-15761102.3527578,20788086.6560273,-35367.0262344005,2.99792458,5
444539.000019312,23903463.4969492,13310745.8393649,-22174655.6246641,5394412.77470384,145274.243073918,2.99792458,13
