Rx_time,rho,X,Y,Z,B,sigma_rho,SVID
419327.432973088,23396565.1047913,13128272.0193126,-11420562.1882077,19633345.4930854,62005.1074464148,9.293566198,1
419327.432973088,23773471.031534,-5683881.44151164,-24229103.2829841,-9070493.00169992,173242.05145258,55.46160473,6
419327.432973088,21611497.0355352,-22651465.5371979,-12763220.2541773,5740596.91581956,145222.688896332,4.796679328,13
419327.432973088,21524002.9351046,3737078.14728369,-17702957.2144455,19405744.4727176,-4253.81554973509,3.297717038,14
419327.432973088,22745292.3361641,-24295643.7532833,-1578647.4101445,10478896.9080401,5413.64558562574,10.49273603,15
419327.432973088,20406691.70346,-6269325.80234873,-18860166.893469,18001870.1827944,210818.298330507,3.897301954,17
419327.432973088,20548718.7115393,-15635038.6926289,-19394089.7685542,9369055.59699467,85381.7615403939,5.696056702,19
419327.432973088,23527931.4607495,-14658222.9361594,7125095.59571306,20554409.6535552,-28686.2961904646,13.790453068,24
419327.432973088,22353041.4906511,-1020140.67854399,-26335706.5295049,1886942.29263311,-158417.650163469,10.49273603,30
419328.432973087,23396796.4248776,13128331.394704,-11417993.0254524,19634810.8669713,62005.1050115243,8.094396366,1
419328.432973087,23772804.8171212,-5683683.32880897,-24230261.9938834,-9067534.40074759,173242.052238231,69.252057798,6
419328.432973087,21611877.1012776,-22651910.5970525,-12763862.619671,5737525.25537869,145222.690880741,5.096471786,13
419328.432973087,21524301.7177327,3739330.70841044,-17703983.5005227,19404360.8917417,-4253.81275908568,3.297717038,14
419328.432973087,22745531.7531515,-24296812.58119,-1579468.14248687,10476206.5166021,5413.64636836935,9.293566198,15
419328.432973087,20406855.9100089,-6267424.20848574,-18859052.525573,18003754.765782,210818.299963311,4.197094412,17
419328.432973087,20548386.4244931,-15633943.9055172,-19393532.0782843,9371938.56605549,85381.7632817076,5.696056702,19
419328.432973087,23527294.283499,-14658553.5078582,7122405.28424932,20555136.2840705,-28686.3021117221,15.889000274,24
419328.432973087,22353544.1616233,-1019754.95201838,-26335931.7370913,1883818.83315215,-158417.650240158,15.889000274,30
419329.432973088,23397036.7492763,13128390.9248543,-11415423.6801234,19636275.8073497,62005.1025766656,7.195018992,1
419329.432973088,23772139.1611153,-5683485.29331509,-24231420.3428316,-9064575.60527849,173242.053023899,85.740642988,6
419329.432973088,21612248.7211145,-22652355.3926134,-12764504.7187401,5734453.47365917,145222.692865241,5.696056702,13
419329.432973088,21524601.6869756,3741583.0599957,-17705009.8314535,19402976.8966317,-4253.80996847337,3.297717038,14
419329.432973088,22745725.6250706,-24297981.1380791,-1580288.67944872,10473515.9004715,5413.64715132792,7.195018992,15
419329.432973088,20407020.3957613,-6265522.35582596,-18857938.1455308,18005638.9765773,210818.301596253,4.796679328,17
419329.432973088,20548054.1374469,-15632848.789581,-19392974.240838,9374821.33692647,85381.7650228921,6.295641618,19
419329.432973088,23526695.1477231,-14658884.2261515,7119714.90205952,20555862.4605865,-28686.3080328879,11.99169832,24
419329.432973088,22354061.1766745,-1019369.24172588,-26336156.5718686,1880695.33310145,-158417.650316899,5.696056702,30
419330.432973088,23397265.1726265,13128450.6097745,-11412854.1521332,19637740.3142887,62005.1001418385,4.197094412,1
419330.432973088,23771499.3663321,-5683287.33530994,-24232578.3296259,-9061616.61561056,173242.053809584,68.352680424,6
419330.432973088,21612634.2313249,-22652799.9239575,-12765146.5510895,5731381.57095939,145222.694849832,5.096471786,13
419330.432973088,21524910.7652322,3743835.20178044,-17706036.207194,19401592.4874555,-4253.80717789824,2.99792458,14
419330.432973088,22745967.8689932,-24299149.4235853,-1581109.02007972,10470825.0605542,5413.64793450119,7.195018992,15
419330.432973088,20407184.0788037,-6263620.24451533,-18856823.753356,18007522.8151468,210818.303229331,4.197094412,17
419330.432973088,20547721.9900024,-15631753.3449481,-19392416.2561658,9377703.90954018,85381.7667639473,5.096471786,19
419330.432973088,23526073.396465,-14659215.0911686,7117024.4485525,20556588.1832343,-28686.3139539631,10.49273603,24
419330.432973088,22354584.8926093,-1018983.54773751,-26336381.0338305,1877571.7924736,-158417.65039369,5.696056702,30
419331.432973087,23397497.8887303,13128510.4494384,-11410284.4417428,19639204.3876771,62005.0977070431,5.696056702,1
419331.432973087,23770833.0472179,-5683089.45440925,-24233735.9545096,-9058657.43129035,173242.054595285,79.44500137,6
419331.432973087,21613009.9694132,-22653244.1910064,-12765788.1169207,5728309.54710264,145222.696834515,5.696056702,13
419331.432973087,21525212.7587004,3746087.13390665,-17707062.6277389,19400207.6641674,-4253.80438736012,2.99792458,14
419331.432973087,22746165.8242633,-24300317.4379907,-1581929.16519868,10468133.9960779,5413.64871788942,7.195018992,15
419331.432973087,20407362.2106264,-6261717.87475567,-18855709.3491363,18009406.281357,210818.304862547,4.197094412,17
419331.432973087,20547389.5982549,-15630657.5716172,-19391858.1243181,9380586.28383825,85381.7685048732,5.096471786,19
419331.432973087,23525416.9541741,-14659546.1029469,7114333.92364921,20557313.4520281,-28686.319874948,11.99169832,24
419331.432973087,22355109.6206567,-1018597.86997095,-26336605.1229755,1874448.21127708,-158417.650470531,5.696056702,30
419332.432973088,23397742.7850861,13128570.4439784,-11407714.5489559,19640668.0274479,62005.0952722797,8.094396366,1
419332.432973088,23770141.1111841,-5682891.65029313,-24234893.2175153,-9055698.0523836,173242.055381002,32.97717038,6
419332.432973088,21613399.0743684,-22653688.1936089,-12766429.4163456,5725237.4023841,145222.69881929,5.696056702,13
419332.432973088,21525518.5214157,3748338.85641017,-17708089.092973,19398822.4268435,-4253.80159685913,3.297717038,14
419332.432973088,22746389.1172495,-24301485.1809913,-1582749.11450873,10465442.7077204,5413.64950149242,7.195018992,15
419332.432973088,20407526.4869762,-6259815.24604651,-18854594.9329349,18011289.3753528,210818.306495899,4.197094412,17
419332.432973088,20547048.0974938,-15629561.4692852,-19391299.845544,9383468.4598509,85381.7702456699,5.696056702,19
419332.432973088,23524767.5617711,-14659877.2614554,7111643.32776709,20558038.2668537,-28686.3257958418,15.889000274,24
419332.432973088,22355634.2440028,-1018212.20806868,-26336828.8393098,1871324.58956048,-158417.650547424,5.096471786,30
419333.432973088,23397987.3673379,13128630.5933795,-11405144.4737879,19642131.2336261,62005.092837548,4.796679328,1
419333.432973088,23769475.7692821,-5682693.92341974,-24236050.1182979,-9052738.47947756,173242.056166736,37.47405725,6
419333.432973088,21613786.6437044,-22654131.9317818,-12767070.449351,5722165.13672485,145222.700804157,5.096471786,13
419333.432973088,21525826.3432566,3750590.36914165,-17709115.602876,19397436.7755088,-4253.79880639523,2.99792458,14
419333.432973088,22746622.8803663,-24302652.6526028,-1583568.86799738,10462751.1954149,5413.65028531024,7.195018992,15
419333.432973088,20407693.4157591,-6257912.35872991,-18853480.5048048,18013172.0969879,210818.308129388,4.197094412,17
419333.432973088,20546726.9785869,-15628465.0383289,-19390741.4197366,9386350.43722484,85381.7719863372,5.096471786,19
419333.432973088,23524179.9082385,-14660208.5664955,7108952.66176622,20558762.6275623,-28686.3317166433,18.287339938,24
419333.432973088,22356146.1984909,-1017826.56206649,-26337052.1828315,1868200.92726904,-158417.650624367,5.696056702,30
419334.432973087,23398221.9331648,13128690.8976889,-11402574.2161972,19643594.0062285,62005.0904028481,3.897301954,1
419334.432973087,23768810.0783758,-5682496.27357943,-24237206.6569658,-9049778.71236744,173242.056952487,44.9688687,6
419334.432973087,21614162.4166932,-22654575.4054729,-12767711.2160299,5719092.75008248,145222.702789116,5.696056702,13
419334.432973087,21526132.2455736,3752841.67209525,-17710142.1574136,19396050.7101729,-4253.79601596841,2.99792458,14
419334.432973087,22746835.877724,-24303819.852893,-1584388.42594516,10460059.4589376,5413.65106934296,7.195018992,15
419334.432973087,20407860.7982476,-6256009.21282115,-18852366.0647926,18015054.4462402,210818.309763014,4.197094412,17
419334.432973087,20546399.4030995,-15627368.2785306,-19390182.8469919,9389232.21615874,85381.7737268752,5.096471786,19
419334.432973087,23523523.4659476,-14660540.0184382,7106261.92408413,20559486.5344551,-28686.337637355,11.99169832,24
419334.432973087,22356675.1843914,-1017440.93216235,-26337275.1535038,1865077.22477715,-158417.650701361,5.696056702,30
